#format: English Name, Set Code, Language, Grade; Foil; Count

#land cards
Sunpetal Grove;M10;English;LP;false;1
Woodland Cemetery;ISD;English;NM;false;1
Sunken Hollow;BFZ;English;error;false;1
Yavimaya Coast;ORI;English;NM;false;1
Prairie Stream;BFZ;English;NM;false;1
Sanctum of Ugin;BFZ;English;NM;false;1
Crucible of the Spirit Dragon;FRF;English;NM;false;1
Grove of the Guardian;RTR;English;NM;false;1
Urborg, Tomb of Yawgmoth;M15;English;NM;false;1
